Gene,Predicted Label,Probability
ZWINT,[1],[0.8490105]
ATP2B4,[1],[0.84827185]
ERGIC1,[1],[0.84576666]
ADAR,[1],[0.84378844]
ANLN,[1],[0.8410746]
AP5M1,[1],[0.8383835]
GIGYF2,[1],[0.8382193]
HEY2,[1],[0.8368318]
ORAI2,[1],[0.83628535]
CDH19,[1],[0.8356956]
SMAD7,[1],[0.8350666]
CCR8,[1],[0.8332818]
CUX1,[1],[0.8320472]
DECR1,[1],[0.8310845]
CD274,[1],[0.8309093]
EEF2,[1],[0.8307516]
AP3M2,[1],[0.8288314]
GNG2,[1],[0.8287771]
TUBA1B,[1],[0.82750666]
HLA-DRA,[1],[0.8253467]
CLGN,[1],[0.82515407]
ITGB3,[1],[0.8249019]
IGF1R,[1],[0.8246191]
BANP,[1],[0.82169443]
GJA3,[1],[0.8199852]
RPS6,[1],[0.817618]
ATP2B1,[1],[0.8172446]
ALDH18A1,[1],[0.8164829]
CANX,[1],[0.81640273]
ACVR1C,[1],[0.8162286]
CAV2,[1],[0.8162113]
COL8A1,[1],[0.81584144]
DRG1,[1],[0.8153716]
IRF5,[1],[0.81480277]
KANSL1,[1],[0.8146172]
ALDH5A1,[1],[0.8109326]
PDE4D,[1],[0.80961365]
ENO1,[1],[0.80941886]
COL5A1,[1],[0.8093192]
STIM2,[1],[0.80886024]
BZW1,[1],[0.80482656]
GTF2IRD1,[1],[0.80475706]
SASS6,[1],[0.8018456]
OMG,[1],[0.80057496]
GTF3A,[1],[0.79932415]
FAF1,[1],[0.79886633]
HNRNPC,[1],[0.7986303]
NUBP2,[1],[0.7981962]
MMP7,[1],[0.79745364]
ALK,[1],[0.79585654]
SDCBP,[1],[0.7915381]
GAS2,[1],[0.7907702]
AICDA,[1],[0.7899389]
CEP170,[1],[0.7897116]
PIGG,[1],[0.78960025]
BNIP3L,[1],[0.7860157]
GPT,[1],[0.7857211]
EBF1,[1],[0.78320384]
ACKR3,[1],[0.7829547]
GAPDH,[1],[0.78088653]
CCNY,[1],[0.77912307]
TMEM126B,[1],[0.77910084]
TPCN2,[1],[0.7788019]
HSPA4,[1],[0.77843416]
IFNGR2,[1],[0.77811086]
BTG1,[1],[0.7774617]
HLA-C,[1],[0.7754687]
CAMK4,[1],[0.7749805]
PPFIBP1,[1],[0.7746674]
KCNJ3,[1],[0.7742739]
RPL13,[1],[0.7726198]
CGNL1,[1],[0.7721538]
HMGN3,[1],[0.7712551]
FLNA,[1],[0.7702627]
COMT,[1],[0.76869196]
SH2D2A,[1],[0.76845044]
DIAPH3,[1],[0.76752055]
NR2C1,[1],[0.76747024]
PPIP5K1,[1],[0.76740265]
MT-CO2,[1],[0.7642027]
RPS7,[1],[0.76252276]
ARID1A,[1],[0.76098967]
EEF1G,[1],[0.760516]
BMP1,[1],[0.7604193]
CALM3,[1],[0.7600107]
CD74,[1],[0.759885]
EPHB2,[1],[0.75922734]
CDC73,[1],[0.758891]
BST2,[1],[0.75843424]
ENAM,[1],[0.7568525]
EGFR,[1],[0.75612307]
MBD3,[1],[0.7546378]
MDK,[1],[0.75353545]
FOXO3,[1],[0.75351036]
PTMA,[1],[0.7533425]
TUBB,[1],[0.75222534]
NT5C2,[1],[0.7510837]
CALCRL,[1],[0.75106096]
TGFBR2,[1],[0.7484377]
AZIN1,[1],[0.74787825]
CKS1B,[1],[0.7456164]
ARHGAP5,[1],[0.74531776]
APLP1,[1],[0.74437934]
CNTNAP1,[1],[0.74419373]
MRPL39,[1],[0.7441516]
STIM1,[1],[0.74365443]
ACVR2B,[1],[0.742558]
CACNB4,[1],[0.7424582]
EPS8L2,[1],[0.7420793]
DDX17,[1],[0.74165237]
EEFSEC,[1],[0.7408222]
CD320,[1],[0.740086]
KATNBL1,[1],[0.7395804]
OLA1,[1],[0.7381814]
HKDC1,[1],[0.73789895]
EEF1D,[1],[0.73760825]
ARID4B,[1],[0.7373815]
EDN1,[1],[0.7368059]
RPS2,[1],[0.73653]
CYFIP2,[1],[0.7364984]
CSF2,[1],[0.7339424]
CLDN9,[1],[0.7338045]
SHANK2,[1],[0.7334605]
MUS81,[1],[0.733003]
BCCIP,[1],[0.7329092]
SP100,[1],[0.7316026]
KLK3,[1],[0.73135984]
KIFC1,[1],[0.7311842]
HS6ST3,[1],[0.7294346]
ATN1,[1],[0.7246466]
PHLPP1,[1],[0.7223425]
GLUL,[1],[0.7200348]
RPL41,[1],[0.71996677]
PDE3A,[1],[0.7178699]
H3-5,[1],[0.7175359]
CD44,[1],[0.71518636]
COL5A2,[1],[0.71500504]
DAB1,[1],[0.71462494]
NUP98,[1],[0.71013916]
AREL1,[1],[0.7091961]
ADAMTSL4,[1],[0.7083598]
ADAMTS6,[1],[0.70791584]
GIMAP5,[1],[0.70773065]
EGLN1,[1],[0.7071018]
MAPK8IP3,[1],[0.70490307]
MBNL1,[1],[0.7044835]
HMGA1,[1],[0.7041817]
BMX,[1],[0.7036607]
CCDC91,[1],[0.7031366]
SNX5,[1],[0.7012518]
BAG6,[1],[0.6992705]
CCAR2,[1],[0.69792676]
BIRC6,[1],[0.6972024]
