Gene,Predicted Label,Probability
TBX3,[1],[0.99249494]
ITPR2,[1],[0.9918464]
SMO,[1],[0.9914643]
MET,[1],[0.99137974]
STAG1,[1],[0.99136317]
PRKCB,[1],[0.9906741]
PDGFRB,[1],[0.99060774]
TYK2,[1],[0.9905742]
TAF1L,[1],[0.9896069]
WNK1,[1],[0.98954993]
YWHAE,[1],[0.9894303]
RUNX1,[1],[0.988987]
PRKCQ,[1],[0.9888892]
NOTCH2,[1],[0.988877]
ANK2,[1],[0.9886777]
P4HB,[1],[0.9885252]
DYNC1H1,[1],[0.9884974]
PLCB4,[1],[0.98841906]
RIMS2,[1],[0.9883669]
PIK3CG,[1],[0.98807716]
CXCR2,[1],[0.98799676]
ACVR2A,[1],[0.987934]
LAMA2,[1],[0.98769903]
XRCC1,[1],[0.9876907]
NTRK2,[1],[0.98756987]
SPRY2,[1],[0.9873832]
PREX1,[1],[0.98730206]
DNAH7,[1],[0.98702025]
PLCB1,[1],[0.9869604]
TP53BP1,[1],[0.98684186]
TGFB2,[1],[0.9865145]
SMC3,[1],[0.9865086]
RFXAP,[1],[0.9865009]
CACNA1E,[1],[0.9860778]
COL6A3,[1],[0.98577857]
ALMS1,[1],[0.98570967]
FREM2,[1],[0.985544]
PRSS1,[1],[0.98543304]
LAMA4,[1],[0.9838997]
PRKCA,[1],[0.98380023]
BRCA2,[1],[0.983799]
SCN1A,[1],[0.98332083]
SDC1,[1],[0.9828063]
SDC2,[1],[0.98278034]
JUN,[1],[0.9825387]
IRAK1,[1],[0.98238486]
LAMB1,[1],[0.98217505]
VCAN,[1],[0.98141277]
DYNC2H1,[1],[0.98108244]
EPHA2,[1],[0.98105454]
THPO,[1],[0.9808003]
CXCR3,[1],[0.98055947]
DNAH1,[1],[0.9803885]
JAK2,[1],[0.9803263]
STK3,[1],[0.979587]
PIK3R2,[1],[0.9794806]
TP63,[1],[0.97940195]
ROCK1,[1],[0.9791765]
SDC4,[1],[0.97907513]
TGFBR1,[1],[0.97902197]
CXCR1,[1],[0.9781114]
GNAS,[1],[0.97799814]
F8,[1],[0.9778246]
MAPK3,[1],[0.97776914]
SPTBN1,[1],[0.9769158]
WNK2,[1],[0.97666377]
SH3GL2,[1],[0.9766167]
FN1,[1],[0.97650164]
LIMK1,[1],[0.9761871]
TFDP1,[1],[0.97605735]
RFX5,[1],[0.9759277]
MMP1,[1],[0.9758917]
ALB,[1],[0.9754615]
TGFB3,[1],[0.97518027]
RGS1,[1],[0.9744692]
STAG3,[1],[0.9744143]
NUP205,[1],[0.9740372]
KLB,[1],[0.97390795]
PIK3CB,[1],[0.9738936]
NFATC2,[1],[0.9734929]
SMC1A,[1],[0.97333884]
HLA-A,[1],[0.9730033]
PRL,[1],[0.9727832]
MST1R,[1],[0.9726226]
CDKN2B,[1],[0.9720507]
NCOA3,[1],[0.9719517]
MYH2,[1],[0.9717962]
FBN2,[1],[0.97158784]
PCDH9,[1],[0.9713795]
IL33,[1],[0.97135466]
PLXNA4,[1],[0.97134376]
UBE2D1,[1],[0.97070575]
CUBN,[1],[0.9707035]
PXN,[1],[0.9701607]
RXRA,[1],[0.9700419]
SZT2,[1],[0.9697835]
RHOD,[1],[0.969572]
TREM2,[1],[0.969531]
RARA,[1],[0.9693141]
MAP2K4,[1],[0.9692723]
PAG1,[1],[0.96912026]
