Gene,Predicted Label,Probability
ITPR2,[1],[0.92976177]
NCOR2,[1],[0.9288561]
VWF,[1],[0.9284652]
PTPRD,[1],[0.9282447]
STAT3,[1],[0.9246737]
DNAH7,[1],[0.9240754]
DNAH8,[1],[0.9239382]
LAMA1,[1],[0.9238136]
CDKN2A,[1],[0.9236925]
HECW1,[1],[0.92316353]
TNXB,[1],[0.9225658]
MAP1A,[1],[0.92063594]
PTPRK,[1],[0.9205953]
DYSF,[1],[0.9205874]
UBC,[1],[0.91946197]
PCDH10,[1],[0.91916466]
DNAH3,[1],[0.9189693]
EEF2,[1],[0.91874695]
MKI67,[1],[0.91786575]
RASA1,[1],[0.9172075]
DNAH1,[1],[0.9161671]
PRPF8,[1],[0.9158948]
SCN1A,[1],[0.9149175]
KDR,[1],[0.9140354]
RUNX1T1,[1],[0.9135878]
LRRC7,[1],[0.91336083]
CDH23,[1],[0.91291153]
EGFR,[1],[0.91252136]
NUP205,[1],[0.9125004]
ACVR2A,[1],[0.9117035]
CDK12,[1],[0.9114907]
NOTCH3,[1],[0.9114741]
MT-CO2,[1],[0.9104857]
RPTOR,[1],[0.909915]
MYH2,[1],[0.90854305]
TCF7L2,[1],[0.90695095]
FGF2,[1],[0.9054434]
KAT6A,[1],[0.90533775]
ASXL2,[1],[0.9051211]
MGA,[1],[0.9025556]
YWHAE,[1],[0.90214396]
CAND1,[1],[0.9010803]
MAP1B,[1],[0.9002217]
LAMA3,[1],[0.89954174]
ITGB1,[1],[0.898817]
CEP350,[1],[0.897687]
ZFP36L1,[1],[0.8973957]
CNTN5,[1],[0.89734644]
FGFR2,[1],[0.8972754]
DICER1,[1],[0.8968623]
PCDHA9,[1],[0.8967711]
DOCK4,[1],[0.8966211]
PKD1,[1],[0.8964549]
LAMA5,[1],[0.8964339]
LAMA2,[1],[0.89558977]
GLI2,[1],[0.89445496]
COL4A4,[1],[0.89369774]
BPTF,[1],[0.89367896]
NUMA1,[1],[0.89341354]
TBL1XR1,[1],[0.893184]
THOC2,[1],[0.8931235]
HNRNPA1,[1],[0.8927554]
DNMT1,[1],[0.8926583]
DSCAM,[1],[0.89241016]
UTRN,[1],[0.8918513]
IGF2,[1],[0.8918276]
STAG1,[1],[0.8915266]
CENPF,[1],[0.8913088]
FGF1,[1],[0.8908547]
DPYD,[1],[0.88972634]
THBS1,[1],[0.88932085]
POLQ,[1],[0.8891485]
POLE,[1],[0.88871336]
HSP90AA1,[1],[0.88839126]
ASXL1,[1],[0.88819796]
CPS1,[1],[0.8881548]
ARID5B,[1],[0.88807994]
KRT80,[1],[0.8876928]
MYO10,[1],[0.88630986]
LAMC1,[1],[0.88460255]
ZEB1,[1],[0.8835194]
CUL3,[1],[0.88283134]
RBBP6,[1],[0.8822853]
NCOA3,[1],[0.88220376]
ROBO1,[1],[0.8806125]
EIF4A2,[1],[0.87955934]
COL5A3,[1],[0.8789735]
AGO2,[1],[0.87843233]
FLRT2,[1],[0.87752557]
KCNB2,[1],[0.87727714]
BDP1,[1],[0.8765991]
PCDHB6,[1],[0.8759236]
ABCA1,[1],[0.87571406]
SIN3A,[1],[0.87546104]
IQGAP1,[1],[0.87431836]
MT-ND4,[1],[0.87395364]
CDK5RAP2,[1],[0.8736876]
RHOA,[1],[0.87189597]
MYH11,[1],[0.8705166]
LAMB1,[1],[0.87006515]
MED13L,[1],[0.8686399]
NFE2L2,[1],[0.8673043]
PLCG2,[1],[0.8672366]
PTPRB,[1],[0.8665758]
SMAD3,[1],[0.8649879]
PDS5B,[1],[0.86464256]
SMG1,[1],[0.8637092]
CACNA1D,[1],[0.8633435]
MAGI1,[1],[0.863314]
ADAMTS12,[1],[0.86284924]
HTT,[1],[0.862478]
NRXN3,[1],[0.8617733]
SLIT2,[1],[0.8605413]
TIAM2,[1],[0.8602741]
GRIK5,[1],[0.86017454]
PKM,[1],[0.85906047]
GOLGA4,[1],[0.8589491]
FREM2,[1],[0.858408]
SZT2,[1],[0.85837203]
CACNA2D1,[1],[0.8579422]
CDH10,[1],[0.85785395]
MYO9A,[1],[0.8578228]
TJP1,[1],[0.8573806]
DIDO1,[1],[0.85613275]
PLXNA2,[1],[0.8552358]
SREBF2,[1],[0.8548513]
MED1,[1],[0.85474294]
CHD3,[1],[0.85422057]
HDLBP,[1],[0.8538578]
DOCK2,[1],[0.853196]
SSTR3,[1],[0.8518461]
NRIP1,[1],[0.85115784]
DNAH17,[1],[0.8510631]
MAPK1,[1],[0.8505234]
EPHA3,[1],[0.85047466]
ADAM12,[1],[0.8503276]
LPP,[1],[0.8502363]
NRXN1,[1],[0.849609]
MYO15A,[1],[0.84905577]
F8,[1],[0.8489135]
SPECC1,[1],[0.8488549]
DOCK1,[1],[0.8484148]
FANCM,[1],[0.8481507]
ITGAV,[1],[0.84801286]
EP400,[1],[0.8474031]
CFH,[1],[0.8472361]
NHS,[1],[0.84656376]
KIF1B,[1],[0.84626514]
CEP192,[1],[0.84608704]
PRKCA,[1],[0.845904]
MAML2,[1],[0.84543914]
SMC3,[1],[0.8448909]
SSH2,[1],[0.8448726]
LTBP1,[1],[0.84454274]
ITGB3,[1],[0.8443338]
ABCC9,[1],[0.8441494]
DIAPH2,[1],[0.842792]
TNS1,[1],[0.8422909]
LMO7,[1],[0.84149957]
SMAD2,[1],[0.84138864]
SETX,[1],[0.84102964]
RICTOR,[1],[0.8407415]
PCF11,[1],[0.8404773]
NFASC,[1],[0.84030265]
TGFBR1,[1],[0.8397072]
CASZ1,[1],[0.839547]
MDC1,[1],[0.8393467]
HDAC4,[1],[0.8390072]
CEP290,[1],[0.8383378]
HMGA1,[1],[0.8382021]
TFDP1,[1],[0.83733135]
AR,[1],[0.8370748]
ESR1,[1],[0.83699274]
PLCE1,[1],[0.8363715]
ZMYM2,[1],[0.8362236]
