Gene,Predicted Label,Probability
MYH2,[1],[0.99999213]
HERC2,[1],[0.99999213]
TEC,[1],[0.999992]
RIMS2,[1],[0.9999913]
DNAH8,[1],[0.9999912]
ITGAV,[1],[0.9999907]
MYO5A,[1],[0.99999034]
SRSF3,[1],[0.9999902]
JMJD1C,[1],[0.99998975]
CHD4,[1],[0.9999895]
UHRF1,[1],[0.9999893]
TYMS,[1],[0.99998915]
SOS1,[1],[0.99998915]
DNAH11,[1],[0.9999882]
TRAF2,[1],[0.9999877]
TNKS,[1],[0.9999875]
TLL1,[1],[0.9999871]
RBBP6,[1],[0.999987]
DMXL2,[1],[0.9999869]
ZBTB8OS,[1],[0.99998665]
FUT9,[1],[0.9999864]
KDM6A,[1],[0.9999862]
PLXNA4,[1],[0.99998593]
TRIP11,[1],[0.9999858]
RPL22,[1],[0.9999857]
PKM,[1],[0.99998534]
GOLGA4,[1],[0.999985]
RB1,[1],[0.9999846]
ZNF326,[1],[0.99998426]
DSP,[1],[0.99998295]
TRPM2,[1],[0.9999827]
FRAS1,[1],[0.99998236]
TFE3,[1],[0.999982]
ASH1L,[1],[0.99998105]
CHD7,[1],[0.9999808]
HERC1,[1],[0.99998057]
TGFB1,[1],[0.99998045]
AMER1,[1],[0.99998033]
UBC,[1],[0.9999802]
ZFYVE26,[1],[0.99997985]
SYT4,[1],[0.9999789]
MAML2,[1],[0.9999788]
TMSB4X,[1],[0.9999783]
TGFBI,[1],[0.999977]
TBX3,[1],[0.99997675]
TBC1D10C,[1],[0.99997616]
TMOD3,[1],[0.99997616]
SPTBN2,[1],[0.9999757]
DYNC2H1,[1],[0.9999752]
RUNX3,[1],[0.9999751]
SALL4,[1],[0.9999746]
NME1,[1],[0.99997437]
MUC5B,[1],[0.9999739]
THBS1,[1],[0.9999738]
PTPN6,[1],[0.99997365]
POU2AF1,[1],[0.9999721]
ITPR1,[1],[0.999972]
TICAM1,[1],[0.9999715]
SRCAP,[1],[0.99997103]
STT3A,[1],[0.9999709]
WWC1,[1],[0.9999702]
UBE3C,[1],[0.9999701]
SYNE2,[1],[0.9999695]
VCAN,[1],[0.99996936]
ARID5B,[1],[0.99996936]
PYCARD,[1],[0.99996805]
SCD,[1],[0.99996746]
TOB2,[1],[0.99996626]
IQGAP1,[1],[0.99996614]
USP8,[1],[0.99996495]
CDK12,[1],[0.99996483]
TOMM40,[1],[0.9999633]
SSTR3,[1],[0.9999629]
SOCS1,[1],[0.9999616]
TMPRSS2,[1],[0.9999614]
TNS3,[1],[0.9999614]
JAK1,[1],[0.99996126]
TULP4,[1],[0.99995995]
ARID2,[1],[0.99995935]
ACACA,[1],[0.99995816]
STIL,[1],[0.99995697]
DNAH14,[1],[0.99995565]
NR3C2,[1],[0.99995506]
CD74,[1],[0.9999546]
HLA-B,[1],[0.99995446]
SSH2,[1],[0.9999542]
COL25A1,[1],[0.99995327]
TCF7L2,[1],[0.9999529]
TNRC6B,[1],[0.99995244]
URB2,[1],[0.9999523]
TLN2,[1],[0.99995065]
TUBB4A,[1],[0.99995005]
SV2C,[1],[0.9999479]
SDHD,[1],[0.99994755]
WAC,[1],[0.9999473]
MMP9,[1],[0.99994564]
RPS27A,[1],[0.99994564]
SKP2,[1],[0.999944]
GPR15,[1],[0.9999424]
PCDH10,[1],[0.99994206]
ZNF510,[1],[0.99994206]
RPTOR,[1],[0.9999387]
UBE2E3,[1],[0.9999366]
WDR55,[1],[0.99993634]
ANK3,[1],[0.9999361]
TJP3,[1],[0.9999343]
CEP350,[1],[0.9999324]
ZFP36L1,[1],[0.99993134]
GLI3,[1],[0.99993026]
XIAP,[1],[0.9999293]
S1PR2,[1],[0.9999287]
NUMA1,[1],[0.99992824]
YWHAB,[1],[0.9999274]
ZNF207,[1],[0.9999244]
ANK2,[1],[0.9999236]
SRC,[1],[0.9999207]
BRD4,[1],[0.9999192]
DYNC1H1,[1],[0.99991894]
POLQ,[1],[0.99991834]
RIMS1,[1],[0.99991775]
CDKN2A,[1],[0.99991643]
TRAPPC9,[1],[0.9999155]
B2M,[1],[0.9999149]
HSPA1A,[1],[0.9999138]
TNS1,[1],[0.9999138]
DNAH10,[1],[0.9999126]
RASA1,[1],[0.99991214]
STXBP5L,[1],[0.99991214]
TPX2,[1],[0.999912]
SMC1A,[1],[0.9999107]
SRSF2,[1],[0.9999094]
MDM2,[1],[0.9999088]
PRDM1,[1],[0.9999088]
RAD17,[1],[0.99990606]
PLXND1,[1],[0.9999031]
STAT3,[1],[0.9999026]
SSTR1,[1],[0.9998934]
SET,[1],[0.99989116]
CCND2,[1],[0.99988925]
PLCB1,[1],[0.99988556]
UNC5B,[1],[0.99988425]
MDN1,[1],[0.9998841]
OBSL1,[1],[0.9998822]
EFNA5,[1],[0.9998809]
ASXL1,[1],[0.9998807]
CUL3,[1],[0.9998795]
TPR,[1],[0.999879]
SYNJ1,[1],[0.9998776]
RELN,[1],[0.9998776]
LRRC7,[1],[0.999877]
GSTP1,[1],[0.99987674]
FLNA,[1],[0.9998765]
ZNF91,[1],[0.9998765]
ZNF451,[1],[0.9998745]
PYGM,[1],[0.99987364]
TLR10,[1],[0.99987304]
TIAM2,[1],[0.99987257]
FGFR2,[1],[0.999871]
TRRAP,[1],[0.9998684]
SLC8A2,[1],[0.9998661]
TNNI3,[1],[0.99986506]
HNRNPA2B1,[1],[0.99986064]
