Gene,Predicted Label,Probability
HECW1,[1],[0.95700413]
THBS1,[1],[0.9569028]
ACVR2A,[1],[0.956446]
RUNX1,[1],[0.95616627]
JUN,[1],[0.95603526]
EGF,[1],[0.9555329]
LAMC1,[1],[0.9554025]
TBX3,[1],[0.9540178]
HSPA8,[1],[0.95387864]
PLCG1,[1],[0.95351714]
MAPK3,[1],[0.9531044]
HLA-A,[1],[0.95279336]
DYNC2H1,[1],[0.9524381]
RIMS1,[1],[0.95225686]
MMP1,[1],[0.95193994]
ACACA,[1],[0.9514857]
GRIA2,[1],[0.9509408]
MAP2,[1],[0.9508515]
SF3B1,[1],[0.95047474]
PLXNA4,[1],[0.949773]
COL7A1,[1],[0.9497599]
SZT2,[1],[0.94913447]
MED1,[1],[0.9487316]
PRKCB,[1],[0.94860256]
MED13,[1],[0.94832605]
AKT3,[1],[0.94789517]
FLNA,[1],[0.9478169]
LAMB1,[1],[0.9476657]
HIVEP3,[1],[0.9464751]
IRAK1,[1],[0.94635093]
STAT2,[1],[0.94631624]
FOS,[1],[0.94621027]
PRKD1,[1],[0.9456884]
RASA1,[1],[0.9454827]
FOXA1,[1],[0.94524354]
JMJD1C,[1],[0.9447297]
CTNNA2,[1],[0.9446889]
MYH2,[1],[0.9435544]
TLR4,[1],[0.9428161]
F8,[1],[0.94236755]
ARRB2,[1],[0.94120026]
CNOT1,[1],[0.9409116]
DSP,[1],[0.9406507]
MYH6,[1],[0.9406321]
LAMA2,[1],[0.9405311]
NUP214,[1],[0.9394449]
GPLD1,[1],[0.93865156]
SMAD3,[1],[0.9382151]
DNAH10,[1],[0.93805116]
POLE,[1],[0.9377327]
ESPL1,[1],[0.9375362]
COL1A1,[1],[0.9372634]
WNK1,[1],[0.9368318]
GRM1,[1],[0.9362498]
PDGFRB,[1],[0.9352672]
NFATC2,[1],[0.93473446]
ITGB1,[1],[0.93456024]
IGF2R,[1],[0.9336783]
CFTR,[1],[0.9334322]
LIFR,[1],[0.9328842]
TNC,[1],[0.93284917]
GRIN2B,[1],[0.9315974]
TCF7L2,[1],[0.931587]
TRIO,[1],[0.9311944]
ADCY2,[1],[0.9304854]
CUL3,[1],[0.92983514]
COL5A3,[1],[0.92868644]
PTPRC,[1],[0.9283763]
STAG1,[1],[0.9283075]
CCNB2,[1],[0.92827564]
RBBP6,[1],[0.928032]
ITGB3,[1],[0.9279146]
THOC2,[1],[0.9275749]
PTK2,[1],[0.92705405]
GRM3,[1],[0.926529]
FANCM,[1],[0.92557436]
DSCAM,[1],[0.9255124]
PDS5B,[1],[0.925313]
PDGFRA,[1],[0.9248551]
NUMA1,[1],[0.92485297]
LMO7,[1],[0.9246256]
MYO9A,[1],[0.9243526]
CACNA1A,[1],[0.92317116]
CDK1,[1],[0.92308694]
FOXO1,[1],[0.92212105]
NUP210,[1],[0.9213935]
PTK2B,[1],[0.9210566]
COL4A4,[1],[0.92094135]
MYH11,[1],[0.9208053]
CSNK1E,[1],[0.9202733]
CELSR2,[1],[0.9202565]
ROCK1,[1],[0.9201541]
CLTC,[1],[0.9197785]
IQGAP1,[1],[0.91961515]
CACNA1B,[1],[0.91879493]
COL14A1,[1],[0.91862077]
ITGAV,[1],[0.9183929]
ARRB1,[1],[0.9174234]
COL4A3,[1],[0.91742265]
MAP2K4,[1],[0.916906]
CUL1,[1],[0.91683304]
NTRK3,[1],[0.9167149]
GLI1,[1],[0.91606075]
ITGB4,[1],[0.91597897]
CDKN1B,[1],[0.9158416]
EPHA3,[1],[0.9155795]
ITGA4,[1],[0.9154938]
FLT4,[1],[0.9133765]
PRKCE,[1],[0.9128862]
GNG4,[1],[0.9123522]
PTPRZ1,[1],[0.9111969]
SMC1A,[1],[0.9102541]
EP400,[1],[0.9097986]
ADCY1,[1],[0.9091118]
GRM5,[1],[0.90910476]
CHD9,[1],[0.90871197]
PCDH9,[1],[0.90855104]
VAV3,[1],[0.90847504]
MYH7,[1],[0.9082183]
AKT2,[1],[0.9082029]
NFKB1,[1],[0.9077539]
MDM2,[1],[0.9071316]
LAMA4,[1],[0.90688145]
EPHB1,[1],[0.9065494]
MYLK,[1],[0.90627867]
NRXN3,[1],[0.90613264]
RUNX1T1,[1],[0.9041092]
BMPR2,[1],[0.9037988]
PCDH10,[1],[0.9037338]
MYC,[1],[0.90284145]
GSK3B,[1],[0.90241265]
NCOA1,[1],[0.9018885]
NOTCH4,[1],[0.9017912]
FASN,[1],[0.90150493]
DOCK4,[1],[0.9014221]
PLG,[1],[0.9011233]
KANSL1,[1],[0.9003533]
NRG1,[1],[0.8999215]
CIT,[1],[0.8998154]
KALRN,[1],[0.89977455]
ABCA1,[1],[0.8985909]
BLM,[1],[0.8974433]
PIK3CD,[1],[0.89724123]
NOS3,[1],[0.8969806]
KIT,[1],[0.8969291]
RPTOR,[1],[0.8965112]
CFH,[1],[0.89541847]
SRRM2,[1],[0.8951317]
ITGA2,[1],[0.8950108]
CUX1,[1],[0.8949929]
FGF2,[1],[0.89487344]
HSP90AB1,[1],[0.8947871]
IGF1,[1],[0.8947806]
TJP1,[1],[0.894275]
COL4A1,[1],[0.8941013]
DNMT3A,[1],[0.89399374]
ANK1,[1],[0.8939429]
PARD3,[1],[0.89389974]
AXIN2,[1],[0.8933354]
GHR,[1],[0.89323103]
LAMA5,[1],[0.8931245]
PLXNA2,[1],[0.89309907]
FGFR4,[1],[0.8927373]
TNXB,[1],[0.892656]
MAPK14,[1],[0.89221126]
DCC,[1],[0.8915096]
ERCC2,[1],[0.891273]
SIPA1L1,[1],[0.89125055]
GPC5,[1],[0.89096874]
LYN,[1],[0.8909471]
YWHAE,[1],[0.890225]
APP,[1],[0.89000636]
GRIA4,[1],[0.8899887]
ROBO1,[1],[0.889763]
RXRG,[1],[0.88951397]
CEP290,[1],[0.8895008]
NFATC1,[1],[0.8889972]
MYH3,[1],[0.8881221]
ARHGAP35,[1],[0.88797176]
CACNA2D1,[1],[0.88755155]
NR3C1,[1],[0.8873745]
FGFR1,[1],[0.88653594]
CHD3,[1],[0.88601863]
LTBP1,[1],[0.885583]
RASGRF1,[1],[0.8855607]
GPC3,[1],[0.885503]
DLC1,[1],[0.88538253]
SLIT2,[1],[0.88533616]
PRKCQ,[1],[0.8852642]
PLXNA3,[1],[0.8848751]
CCND2,[1],[0.88441217]
MS4A2,[1],[0.8842819]
F2,[1],[0.8841943]
AKAP13,[1],[0.8836863]
UTP20,[1],[0.88360775]
CELSR1,[1],[0.88329977]
IRS4,[1],[0.8832714]
SDC2,[1],[0.88312674]
IRS1,[1],[0.8828198]
PCK1,[1],[0.8821604]
B2M,[1],[0.8814552]
OGT,[1],[0.88112444]
ITGA2B,[1],[0.8802935]
SPP1,[1],[0.8802683]
DNM2,[1],[0.8801943]
FBXL7,[1],[0.8801742]
SUMO1,[1],[0.879892]
YWHAZ,[1],[0.8795656]
NRP1,[1],[0.8794594]
SMC3,[1],[0.87943095]
PRKG2,[1],[0.8794023]
COL4A2,[1],[0.87879825]
TNR,[1],[0.87844837]
SYK,[1],[0.8775515]
WNT2,[1],[0.876853]
ITGA1,[1],[0.87605363]
RASGRF2,[1],[0.87567854]
CXCL12,[1],[0.87567014]
ACAN,[1],[0.8755946]
CSF2,[1],[0.87545127]
AXIN1,[1],[0.8752968]
CKAP5,[1],[0.87502015]
PRLR,[1],[0.8733141]
IL12RB2,[1],[0.8728857]
GRB2,[1],[0.87286216]
FANCD2,[1],[0.8726203]
GNAL,[1],[0.8723189]
LCP2,[1],[0.87183434]
PTPRM,[1],[0.8716119]
CCNB1,[1],[0.8704337]
GNAI1,[1],[0.8703777]
TNF,[1],[0.87004006]
SIN3A,[1],[0.869903]
DCN,[1],[0.86955565]
TRAF6,[1],[0.86929715]
GNG7,[1],[0.8692896]
TGFBR1,[1],[0.86681587]
CLTCL1,[1],[0.8662857]
KMT2E,[1],[0.86622626]
CACNA1F,[1],[0.8659927]
SNCA,[1],[0.86561245]
ITK,[1],[0.8653634]
MYH10,[1],[0.86480236]
CREB5,[1],[0.86475146]
ZMYM2,[1],[0.86454684]
GNG2,[1],[0.86427104]
NTRK1,[1],[0.8642541]
SHC1,[1],[0.86398995]
PIK3CB,[1],[0.8639226]
FGF23,[1],[0.8636762]
PPARGC1A,[1],[0.86367077]
IL7R,[1],[0.8634001]
COL6A2,[1],[0.8631833]
PRKCG,[1],[0.8629048]
NRIP1,[1],[0.86287326]
JAK3,[1],[0.8613141]
NGF,[1],[0.86102813]
AQR,[1],[0.86084515]
TGFB1,[1],[0.8606906]
ZFP36L1,[1],[0.86067873]
TIAM2,[1],[0.86009157]
CACNA1S,[1],[0.8597328]
ROBO2,[1],[0.85952985]
HIF3A,[1],[0.8588011]
ITGA8,[1],[0.85821044]
CYFIP2,[1],[0.8579742]
MAPK10,[1],[0.8578699]
CTNNA1,[1],[0.85754657]
PLXNA1,[1],[0.85750026]
PIKFYVE,[1],[0.85703725]
VAV1,[1],[0.8566444]
TIAM1,[1],[0.8564971]
MYH8,[1],[0.8563287]
POLA1,[1],[0.8558763]
FGF10,[1],[0.85576314]
ITGB2,[1],[0.8555945]
ROCK2,[1],[0.854484]
FCER1A,[1],[0.8539841]
FLT1,[1],[0.8535551]
RET,[1],[0.8535537]
TFDP1,[1],[0.85293263]
ABCB1,[1],[0.8521011]
FLNB,[1],[0.8518982]
EPS15,[1],[0.8517819]
ADCY8,[1],[0.8514945]
MAP3K4,[1],[0.85128266]
AHCTF1,[1],[0.85092]
SFRP1,[1],[0.8509128]
WNT3A,[1],[0.85081774]
CDK2,[1],[0.85021645]
SMARCC2,[1],[0.8501903]
SCN5A,[1],[0.85011476]
IL6,[1],[0.8498561]
MYO15A,[1],[0.84886074]
FLT3,[1],[0.8484702]
LAMC2,[1],[0.84828997]
SSTR3,[1],[0.8480297]
CSF3R,[1],[0.8479897]
MDC1,[1],[0.8469199]
CXCR2,[1],[0.84639925]
HLA-B,[1],[0.8459739]
BAP1,[1],[0.84551406]
DLG2,[1],[0.8455087]
FOSB,[1],[0.8446434]
MMP9,[1],[0.8445217]
CHUK,[1],[0.84389555]
FAM20A,[1],[0.8432575]
PPP2R2B,[1],[0.8431306]
FREM1,[1],[0.8430924]
IFNG,[1],[0.8423095]
TP63,[1],[0.84206957]
TSC2,[1],[0.8420618]
EPB41L3,[1],[0.84200037]
EIF4G1,[1],[0.84174025]
EDN3,[1],[0.8415572]
CHRM2,[1],[0.84154034]
S1PR1,[1],[0.8407857]
MAP1B,[1],[0.84052974]
MUC20,[1],[0.840426]
LY96,[1],[0.83981955]
RAPGEF6,[1],[0.8394231]
CNR1,[1],[0.83912873]
MYO10,[1],[0.83882195]
ARHGAP31,[1],[0.8386767]
CXCR4,[1],[0.8381233]
KLB,[1],[0.8380141]
BDNF,[1],[0.83743274]
TLR7,[1],[0.8373374]
ACTG1,[1],[0.8373101]
CCR2,[1],[0.8370748]
NCAPD3,[1],[0.83703375]
TBL1XR1,[1],[0.83680224]
CEP192,[1],[0.8351833]
EGR2,[1],[0.835179]
CTNND2,[1],[0.8349091]
ATP2B3,[1],[0.83482045]
INPPL1,[1],[0.8347699]
DNMT1,[1],[0.834511]
CARD11,[1],[0.8338467]
MCM7,[1],[0.83372325]
FGF1,[1],[0.8329318]
GRM4,[1],[0.83223695]
SFN,[1],[0.83220345]
SFRP2,[1],[0.8320062]
CPT1A,[1],[0.8313552]
CENPE,[1],[0.83087647]
KEAP1,[1],[0.83051884]
WNK2,[1],[0.83048534]
ITGA6,[1],[0.8304255]
ADCY6,[1],[0.83005697]
HCK,[1],[0.82915914]
BIRC5,[1],[0.8286613]
MMP13,[1],[0.82833517]
NCOA2,[1],[0.8282152]
COL2A1,[1],[0.82761544]
FANCA,[1],[0.82751834]
MAPK8,[1],[0.82741207]
GRAP2,[1],[0.8271997]
ACVR1B,[1],[0.8271036]
GNB4,[1],[0.8268013]
FZD4,[1],[0.8264957]
PSME4,[1],[0.82624066]
GDNF,[1],[0.8257671]
PRKG1,[1],[0.8253535]
KIAA1549,[1],[0.8251055]
PCDHB7,[1],[0.8250031]
POLR1A,[1],[0.8245709]
DRD5,[1],[0.82451755]
CXCR1,[1],[0.82422644]
AP2A2,[1],[0.82355607]
BTK,[1],[0.8232841]
STAT4,[1],[0.8224774]
PPP2R1A,[1],[0.8218946]
BRWD1,[1],[0.82183444]
NFKB2,[1],[0.8218216]
PLCB3,[1],[0.8214315]
GNA14,[1],[0.8214245]
PTPN11,[1],[0.8210564]
GNB3,[1],[0.8209629]
PRKACG,[1],[0.8208003]
PTPRF,[1],[0.8203634]
KL,[1],[0.8198644]
KLF2,[1],[0.8195951]
DYRK1A,[1],[0.8189978]
ESR2,[1],[0.8186419]
NTRK2,[1],[0.81864184]
CNTN5,[1],[0.8181446]
CAMK2A,[1],[0.81754166]
RNF43,[1],[0.81717277]
DHX9,[1],[0.8171391]
RPS6KA2,[1],[0.8170772]
TPO,[1],[0.81699514]
PIK3R2,[1],[0.81690645]
PCDH18,[1],[0.8163053]
ITGAL,[1],[0.8162138]
TEK,[1],[0.81488574]
PPL,[1],[0.81442165]
XRN1,[1],[0.81421095]
PREX1,[1],[0.8141059]
EPHB2,[1],[0.8141007]
GDI1,[1],[0.8138705]
TP73,[1],[0.8132538]
RAB3GAP2,[1],[0.81310815]
STX1A,[1],[0.81307155]
GOLGA4,[1],[0.8113881]
