Gene,Predicted Label,Probability
FGF3,[1],[0.99825877]
MARK3,[1],[0.9982492]
NCOR1,[1],[0.99822277]
MAP2K7,[1],[0.99820447]
CFTR,[1],[0.99818474]
NR5A2,[1],[0.99816614]
SFN,[1],[0.9981104]
VAV3,[1],[0.9980964]
WNT10B,[1],[0.99808997]
PPP1R13B,[1],[0.9980849]
PRKCD,[1],[0.9980617]
FGFR4,[1],[0.9980434]
SYNJ2,[1],[0.99798596]
STAT4,[1],[0.9979797]
RAD51AP1,[1],[0.99795854]
FANCI,[1],[0.99794227]
COL14A1,[1],[0.997938]
IL27RA,[1],[0.99785525]
USH2A,[1],[0.99783295]
MDC1,[1],[0.99782026]
LNPEP,[1],[0.9977361]
SPRED2,[1],[0.99772185]
YWHAQ,[1],[0.9976459]
IL4I1,[1],[0.9975268]
MS4A2,[1],[0.99746716]
BCR,[1],[0.9974643]
HIF3A,[1],[0.9974486]
RPTN,[1],[0.9974347]
COL25A1,[1],[0.9974202]
TAOK1,[1],[0.9973984]
HIP1,[1],[0.9973623]
RIT1,[1],[0.9973502]
WNK1,[1],[0.9973475]
OTUD7B,[1],[0.99733186]
MYBPC1,[1],[0.9973218]
TAF3,[1],[0.99731904]
LAMC2,[1],[0.9973143]
ERC1,[1],[0.99717027]
SND1,[1],[0.9971493]
DNAH11,[1],[0.9971386]
SCARB2,[1],[0.997138]
CHD1,[1],[0.99711776]
KDM4B,[1],[0.99706787]
FUT9,[1],[0.99706227]
ERBB2,[1],[0.997035]
RRAS,[1],[0.99701154]
DVL3,[1],[0.9970048]
DCLRE1A,[1],[0.99696094]
ATRIP,[1],[0.9969459]
POLK,[1],[0.99689806]
AHNAK,[1],[0.9967638]
PRKDC,[1],[0.9967572]
UGT8,[1],[0.99673414]
VAV2,[1],[0.9967212]
NEB,[1],[0.99672]
ZSWIM8,[1],[0.99671173]
MAPK6,[1],[0.996666]
CTF1,[1],[0.9966164]
SCNN1D,[1],[0.99661607]
MUC4,[1],[0.9965745]
ITPR1,[1],[0.9964941]
RYR3,[1],[0.9964091]
INHBB,[1],[0.9964006]
ESR1,[1],[0.99626726]
CDH18,[1],[0.99625707]
EGR2,[1],[0.9962148]
LYN,[1],[0.99619293]
DNASE1L1,[1],[0.9961904]
LRRK2,[1],[0.99618965]
ATF2,[1],[0.9961773]
PRMT1,[1],[0.99617434]
PAPSS1,[1],[0.9961188]
LRP1,[1],[0.9961094]
COL24A1,[1],[0.99610835]
RAD9B,[1],[0.99603087]
ERBB3,[1],[0.99584466]
TRAF5,[1],[0.9957742]
ANK2,[1],[0.99574655]
ME1,[1],[0.99574476]
FBN2,[1],[0.99573827]
EPHB6,[1],[0.99572843]
TRAK1,[1],[0.99561644]
MPL,[1],[0.99555075]
TNRC6C,[1],[0.9954543]
TOPBP1,[1],[0.9954449]
XRCC3,[1],[0.9953968]
MDN1,[1],[0.9952709]
URI1,[1],[0.9952543]
PRKCE,[1],[0.9952029]
INPP5D,[1],[0.9951361]
IPO8,[1],[0.9951108]
TRIM29,[1],[0.9950958]
ATR,[1],[0.99495345]
HERC2,[1],[0.9949509]
ETS1,[1],[0.99491864]
ITGAD,[1],[0.99481094]
AGTRAP,[1],[0.99474144]
ITGA1,[1],[0.9946707]
PKNOX1,[1],[0.9946308]
USP9X,[1],[0.994611]
RNF146,[1],[0.99459803]
ERCC8,[1],[0.99455786]
ITSN2,[1],[0.9944143]
ESRP1,[1],[0.9943018]
SPOPL,[1],[0.99427754]
STAT3,[1],[0.99422026]
SORBS3,[1],[0.9942008]
TAP2,[1],[0.9941876]
E2F3,[1],[0.9941854]
MAP3K8,[1],[0.99410594]
CDH4,[1],[0.9940989]
IRS2,[1],[0.9939818]
UBA52,[1],[0.9939487]
